LocationID,Borough,Zone,service_zone
1,EWR,Newark Airport,EWR
2,Queens,Jamaica Bay,Boro Zone
3,Bronx,Allerton/Pelham Gardens,Boro Zone
4,Manhattan,Alphabet City,Yellow Zone
5,Staten Island,Arden Heights,Boro Zone
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone
7,Queens,Astoria,Boro Zone
8,Queens,Astoria Park,Boro Zone
9,Queens,Auburndale,Boro Zone
10,Queens,Baisley Park,Boro Zone
11,Brooklyn,Bath Beach,Boro Zone
12,Manhattan,Battery Park,Yellow Zone
13,Manhattan,Battery Park City,Yellow Zone
14,Brooklyn,Bay Ridge,Boro Zone
15,Queens,Bay Terrace/Fort Totten,Boro Zone
16,Queens,Bayside,Boro Zone
17,Brooklyn,Bedford,Boro Zone
18,Bronx,Bedford Park,Boro Zone
19,Queens,Bellerose,Boro Zone
20,Bronx,Belmont,Boro Zone
21,Brooklyn,Bensonhurst East,Boro Zone
22,Brooklyn,Bensonhurst West,Boro Zone
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone
24,Manhattan,Bloomingdale,Yellow Zone
25,Brooklyn,Boerum Hill,Boro Zone
26,Brooklyn,Borough Park,Boro Zone
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
28,Queens,Briarwood/Jamaica Hills,Boro Zone
29,Brooklyn,Brighton Beach,Boro Zone
30,Queens,Broad Channel,Boro Zone
31,Bronx,Bronx Park,Boro Zone
32,Bronx,Bronxdale,Boro Zone
33,Brooklyn,Brooklyn Heights,Boro Zone
34,Brooklyn,Brooklyn Navy Yard,Boro Zone
35,Brooklyn,Brownsville,Boro Zone
36,Brooklyn,Bushwick North,Boro Zone
37,Brooklyn,Bushwick South,Boro Zone
38,Queens,Cambria Heights,Boro Zone
39,Brooklyn,Canarsie,Boro Zone
40,Brooklyn,Carroll Gardens,Boro Zone
41,Manhattan,Central Harlem,Boro Zone
42,Manhattan,Central Harlem North,Boro Zone
43,Manhattan,Central Park,Yellow Zone
44,Staten Island,Charleston/Tottenville,Boro Zone
45,Manhattan,Chinatown,Yellow Zone
46,Bronx,City Island,Boro Zone
47,Bronx,Claremont/Bathgate,Boro Zone
48,Manhattan,Clinton East,Yellow Zone
49,Brooklyn,Clinton Hill,Boro Zone
50,Manhattan,Clinton West,Yellow Zone
51,Bronx,Co-Op City,Boro Zone
52,Brooklyn,Cobble Hill,Boro Zone
53,Queens,College Point,Boro Zone
54,Brooklyn,Columbia Street,Boro Zone
55,Brooklyn,Coney Island,Boro Zone
56,Queens,Corona,Boro Zone
57,Queens,Corona,Boro Zone
58,Bronx,Country Club,Boro Zone
59,Bronx,Crotona Park,Boro Zone
60,Bronx,Crotona Park East,Boro Zone
61,Brooklyn,Crown Heights North,Boro Zone
62,Brooklyn,Crown Heights South,Boro Zone
63,Brooklyn,Cypress Hills,Boro Zone
64,Queens,Douglaston,Boro Zone
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
67,Brooklyn,Dyker Heights,Boro Zone
68,Manhattan,East Chelsea,Yellow Zone
69,Bronx,East Concourse/Concourse Village,Boro Zone
70,Queens,East Elmhurst,Boro Zone
71,Brooklyn,East Flatbush/Farragut,Boro Zone
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone
73,Queens,East Flushing,Boro Zone
74,Manhattan,East Harlem North,Boro Zone
75,Manhattan,East Harlem South,Boro Zone
76,Brooklyn,East New York,Boro Zone
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone
78,Bronx,East Tremont,Boro Zone
79,Manhattan,East Village,Yellow Zone
80,Brooklyn,East Williamsburg,Boro Zone
81,Bronx,Eastchester,Boro Zone
82,Queens,Elmhurst,Boro Zone
83,Queens,Elmhurst/Maspeth,Boro Zone
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone
85,Brooklyn,Erasmus,Boro Zone
86,Queens,Far Rockaway,Boro Zone
87,Manhattan,Financial District North,Yellow Zone
88,Manhattan,Financial District South,Yellow Zone
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone
90,Manhattan,Flatiron,Yellow Zone
91,Brooklyn,Flatlands,Boro Zone
92,Queens,Flushing,Boro Zone
93,Queens,Flushing Meadows-Corona Park,Boro Zone
94,Bronx,Fordham South,Boro Zone
95,Queens,Forest Hills,Boro Zone
96,Queens,Forest Park/Highland Park,Boro Zone
97,Brooklyn,Fort Greene,Boro Zone
98,Queens,Fresh Meadows,Boro Zone
99,Staten Island,Freshkills Park,Boro Zone
100,Manhattan,Garment District,Yellow Zone
