time,temperature,precipitation,windspeed
2025-01-01 00:00:00,7.9,3.4,17.5
2025-01-01 01:00:00,8.9,0.9,12.4
2025-01-01 02:00:00,8.5,0.0,5.0
2025-01-01 03:00:00,8.7,0.0,8.3
2025-01-01 04:00:00,8.6,0.0,9.3
2025-01-01 05:00:00,8.2,0.0,10.7
2025-01-01 06:00:00,7.8,0.0,14.2
2025-01-01 07:00:00,6.6,0.0,13.3
2025-01-01 08:00:00,5.4,0.0,12.3
2025-01-01 09:00:00,7.0,0.0,12.6
2025-01-01 10:00:00,7.9,0.0,12.3
2025-01-01 11:00:00,9.5,0.0,11.1
2025-01-01 12:00:00,10.3,0.0,15.9
2025-01-01 13:00:00,10.8,0.0,15.7
2025-01-01 14:00:00,10.5,0.0,19.9
2025-01-01 15:00:00,8.3,0.0,22.5
2025-01-01 16:00:00,6.7,0.0,23.2
2025-01-01 17:00:00,5.8,0.1,20.8
2025-01-01 18:00:00,5.1,0.1,19.5
2025-01-01 19:00:00,4.8,0.0,19.7
2025-01-01 20:00:00,4.4,0.0,19.4
2025-01-01 21:00:00,4.9,0.0,20.0
2025-01-01 22:00:00,4.4,0.0,20.9
2025-01-01 23:00:00,3.8,0.0,18.8
2025-01-02 00:00:00,3.2,0.0,17.8
2025-01-02 01:00:00,2.8,0.0,17.7
2025-01-02 02:00:00,2.4,0.0,18.7
2025-01-02 03:00:00,1.9,0.0,18.2
2025-01-02 04:00:00,1.7,0.0,16.9
2025-01-02 05:00:00,1.5,0.0,16.4
2025-01-02 06:00:00,1.0,0.0,16.9
2025-01-02 07:00:00,0.5,0.0,17.9
2025-01-02 08:00:00,0.2,0.0,16.4
2025-01-02 09:00:00,1.8,0.0,18.0
2025-01-02 10:00:00,2.9,0.0,18.2
2025-01-02 11:00:00,3.9,0.0,18.0
2025-01-02 12:00:00,4.6,0.0,24.8
2025-01-02 13:00:00,5.0,0.0,25.1
2025-01-02 14:00:00,5.3,0.0,22.6
2025-01-02 15:00:00,5.2,0.0,24.1
2025-01-02 16:00:00,4.5,0.0,20.0
2025-01-02 17:00:00,3.3,0.0,20.5
2025-01-02 18:00:00,2.0,0.0,18.8
2025-01-02 19:00:00,1.5,0.0,17.1
2025-01-02 20:00:00,1.1,0.0,17.1
2025-01-02 21:00:00,1.4,0.0,19.7
2025-01-02 22:00:00,1.0,0.0,17.9
2025-01-02 23:00:00,0.6,0.0,15.3
2025-01-03 00:00:00,0.1,0.0,13.6
2025-01-03 01:00:00,-0.4,0.0,13.2
2025-01-03 02:00:00,-0.8,0.0,14.5
2025-01-03 03:00:00,-1.0,0.0,15.7
2025-01-03 04:00:00,-1.2,0.0,15.5
2025-01-03 05:00:00,-1.5,0.0,14.6
2025-01-03 06:00:00,-1.7,0.0,13.0
2025-01-03 07:00:00,-1.9,0.0,11.6
2025-01-03 08:00:00,-2.0,0.0,10.8
2025-01-03 09:00:00,-0.6,0.0,11.4
2025-01-03 10:00:00,0.3,0.0,11.1
2025-01-03 11:00:00,1.2,0.0,14.0
2025-01-03 12:00:00,2.0,0.0,17.1
2025-01-03 13:00:00,2.3,0.0,15.6
2025-01-03 14:00:00,2.9,0.0,15.7
2025-01-03 15:00:00,3.1,0.0,16.1
2025-01-03 16:00:00,3.1,0.0,15.6
2025-01-03 17:00:00,2.7,0.0,10.3
2025-01-03 18:00:00,1.8,0.0,9.6
2025-01-03 19:00:00,1.4,0.0,9.9
2025-01-03 20:00:00,0.8,0.0,9.6
2025-01-03 21:00:00,-1.2,0.0,6.9
2025-01-03 22:00:00,-1.4,0.0,9.3
2025-01-03 23:00:00,-1.6,0.0,9.6
2025-01-04 00:00:00,-1.9,0.0,10.3
2025-01-04 01:00:00,-1.9,0.0,13.0
2025-01-04 02:00:00,-2.0,0.0,14.1
2025-01-04 03:00:00,-2.2,0.0,13.9
2025-01-04 04:00:00,-1.9,0.0,14.3
2025-01-04 05:00:00,-1.5,0.0,14.5
2025-01-04 06:00:00,-1.8,0.0,16.1
2025-01-04 07:00:00,-2.3,0.0,16.7
2025-01-04 08:00:00,-2.6,0.0,16.9
2025-01-04 09:00:00,-1.6,0.0,15.2
2025-01-04 10:00:00,-0.8,0.0,16.3
2025-01-04 11:00:00,-0.2,0.0,21.7
2025-01-04 12:00:00,-0.3,0.0,20.9
2025-01-04 13:00:00,-0.5,0.0,22.6
2025-01-04 14:00:00,-0.2,0.0,26.1
2025-01-04 15:00:00,-0.2,0.0,23.1
2025-01-04 16:00:00,-0.6,0.0,23.1
2025-01-04 17:00:00,-1.2,0.0,18.3
2025-01-04 18:00:00,-1.7,0.0,15.9
2025-01-04 19:00:00,-2.1,0.0,15.1
2025-01-04 20:00:00,-2.3,0.0,14.7
2025-01-04 21:00:00,-2.3,0.0,13.6
2025-01-04 22:00:00,-2.5,0.0,14.1
2025-01-04 23:00:00,-2.8,0.0,13.9
2025-01-05 00:00:00,-3.0,0.0,14.0
2025-01-05 01:00:00,-3.3,0.0,13.9
2025-01-05 02:00:00,-3.5,0.0,15.0
2025-01-05 03:00:00,-3.7,0.0,13.5
